S. No,State/UT,District,Coordinates,A.Murder (Sec.302 IPC),A. Culpable Homicide not amounting to Murder (Sec.304 IPC),A. Causing Death by Negligence,A. Hurt,A. Assault on Women with Intent to Outrage her Modesty,A. Kidnapping and Abduction,B. Offences against State,C. Rioting (Sec.1470151 IPC),D. Theft (Section 379 IPC),D. Burglary (Sec.454 to 460 r/w Sec.380 IPC),D. Dacoity,D. Others,E. Counterfeiting,"E. Forgery, Cheating & Fraud",E. Offences Relating to Documents & Property Marks (Total),F. Offences relating to Elections (Sec.171-E to 171-I r/w IPC/SLL),F. Disobedience to order duly promulgated by Public Servant (Sec.188),F. Harbouring an Offender (Sec.212/216/216A IPC),F. Offences relating to Adulteration or Sale of Food/Drugs (Sec.272/273/274/275/276 IPC),F. Rash Driving on Public way,F. Others,F. Miscellaneous,Other IPC Crimes,Total Cognizable IPC crimes
312,Jharkhand,Saraikela,"22.7247° N, 85.5536° E",54,1,414,555,37,680,0,12,650,169,25,456,0,274,120,0,0,0,0,106,27,80,7,1229
313,Jharkhand,Simdega,"22.6167° N, 84.4833° E",38,0,316,15,6,334,0,0,128,37,9,113,2,24,13,0,0,0,0,60,16,46,0,386
314,Karnataka,Bagalkot,"14.7500° N, 75.3333° E",39,2,1082,518,307,954,0,264,436,192,17,335,0,180,90,0,0,0,0,962,114,595,80,2025
315,Karnataka,Bengaluru City,"12.9727° N, 77.5917° E",155,17,2738,6534,1271,7718,3,504,12132,1657,896,8120,40,5426,2552,1,15,0,0,6282,1263,4907,730,21548
316,Karnataka,Bengaluru District,"12.9727° N, 77.5917° E",51,5,1614,1588,292,2031,12,408,2120,511,156,1532,2,682,342,2,29,0,0,2543,314,1642,38,5179
317,Karnataka,Belagavi District,"15.2167° N, 74.5000° E",92,4,2194,1289,642,2132,0,936,866,386,43,694,0,358,162,1,5,0,0,2098,240,1295,273,4571
318,Karnataka,Ballari,"14.6667° N, 75.7500° E",40,1,1379,963,301,1388,0,517,1096,304,30,760,0,320,154,8,18,0,0,1468,214,974,553,3750
319,Karnataka,Bidar,"15.5000° N, 77.0000° E",41,1,861,1764,82,1180,0,398,572,313,45,504,2,98,49,8,1,0,0,1656,165,1002,76,2826
320,Karnataka,Vijayapura,"15.1667° N, 75.1667° E",76,3,1306,823,291,1326,0,577,652,252,26,483,4,243,99,4,48,0,10,1022,162,735,371,2987
321,Karnataka,Chikkaballapura,"12.7167° N, 77.7500° E",44,1,873,1297,217,1142,0,568,478,228,34,390,0,174,87,0,38,0,0,800,185,623,44,2334
322,Karnataka,Chamarajnagar,"12.2500° N, 76.9167° E",22,3,533,772,328,756,0,166,192,114,9,163,0,64,32,0,174,0,0,726,71,628,19,1595
323,Karnataka,Chikkamagaluru,"12.6667° N, 75.8333° E",24,1,647,1705,347,1383,0,257,458,174,33,351,0,138,68,2,6,0,0,1274,201,846,115,2600
324,Karnataka,Chitradurga,"13.8333° N, 76.3333° E",24,5,1202,1420,598,1706,0,590,464,232,43,392,2,152,77,0,1,0,0,3182,150,2221,72,4332
325,Karnataka,Dakshina Kannada,"13.0000° N, 75.0000° E",9,1,441,797,119,637,0,224,168,115,8,156,0,91,43,0,1,0,0,1232,215,832,83,1728
326,Karnataka,Davanagere,"14.1667° N, 75.8333° E",33,3,842,839,316,1270,0,484,930,305,49,688,0,220,110,0,0,0,0,1470,181,916,40,2849
327,Karnataka,Dharwad,"15.0000° N, 75.0000° E",18,0,617,336,67,491,0,162,228,96,18,185,0,54,27,1,4,0,0,505,65,323,22,1042
328,Karnataka,Gadag,"14.5000° N, 75.5000° E",11,0,463,387,103,508,0,266,172,88,7,137,0,54,27,1,2,0,0,310,51,209,18,901
