S. No,State/UT,District,Coordinates,A.Murder (Sec.302 IPC),A. Culpable Homicide not amounting to Murder (Sec.304 IPC),A. Causing Death by Negligence,A. Hurt,A. Assault on Women with Intent to Outrage her Modesty,A. Kidnapping and Abduction,B. Offences against State,C. Rioting (Sec.1470151 IPC),D. Theft (Section 379 IPC),D. Burglary (Sec.454 to 460 r/w Sec.380 IPC),D. Dacoity,D. Others,E. Counterfeiting,"E. Forgery, Cheating & Fraud",E. Offences Relating to Documents & Property Marks (Total),F. Offences relating to Elections (Sec.171-E to 171-I r/w IPC/SLL),F. Disobedience to order duly promulgated by Public Servant (Sec.188),F. Harbouring an Offender (Sec.212/216/216A IPC),F. Offences relating to Adulteration or Sale of Food/Drugs (Sec.272/273/274/275/276 IPC),F. Rash Driving on Public way,F. Others,F. Miscellaneous,Other IPC Crimes,Total Cognizable IPC crimes
1,Andhra Pradesh,Anantapur,"14.6819° N, 77.6006° E",107,7,2056,6597,984,4219,0,765,1208,715,22,1032,2,1933,844,52,5354,0,1134,1376,957,8185,710,15017
2,Andhra Pradesh,Chittoor,"24.8829° N, 74.6230° E",68,11,1568,4644,230,2519,0,378,1112,394,22,918,2,767,304,76,1185,0,0,1330,501,2427,6531,12697
3,Andhra Pradesh,Cuddapah,"14.4673° N, 78.8242° E",64,10,1576,3169,426,2136,0,1194,1054,318,12,783,0,547,258,84,1516,0,226,2604,630,3761,1209,8606
4,Andhra Pradesh,East Godavari,"17.3213° N, 82.0407° E",64,10,2311,5373,1021,4384,0,207,2090,522,28,1648,0,811,382,22,893,1,278,2364,1006,3382,172,9535
5,Andhra Pradesh,Guntakal Railway,"15.1753° N, 77.3667° E",2,1,8,39,10,27,0,0,598,0,5,304,0,2,1,0,0,0,0,0,4,4,19,355
6,Andhra Pradesh,Guntur,"16.3067° N, 80.4365° E",65,2,2094,6038,792,3767,0,156,1410,424,17,1045,4,1556,751,4,2077,0,19,1424,1930,4742,558,10587
7,Andhra Pradesh,Guntur Urban,"16.3067° N, 80.4365° E",38,2,1049,2089,540,1803,0,112,1432,366,29,1090,2,1652,755,14,3506,0,591,1204,879,5592,184,9159
8,Andhra Pradesh,Krishna,"16.6100° N, 80.7214° E",44,7,1217,5081,790,3099,0,83,1156,255,10,770,4,848,410,42,4798,0,206,1170,870,6501,1717,12222
9,Andhra Pradesh,Kurnool,"15.8281° N, 78.0373° E",89,9,2172,5430,896,3736,0,602,984,677,35,976,6,1324,656,86,2476,0,3079,1452,1346,7713,975,13996
10,Andhra Pradesh,Nellore,"14.4426° N, 79.9865° E",76,6,1798,4483,598,2892,0,89,946,585,19,966,0,608,284,110,82,0,0,1706,588,1633,2350,7880
11,Andhra Pradesh,Prakasham,"15.3485° N, 79.5603° E",65,12,1938,6536,721,3554,0,231,1210,548,31,1056,2,1042,495,36,3410,1,60,2372,1657,6351,1250,12588
12,Andhra Pradesh,Rajahmundry,"17.0005° N, 81.8040° E",27,2,452,1585,283,1134,0,17,1324,353,62,1088,2,463,223,0,1693,0,94,714,564,2708,336,5270
13,Andhra Pradesh,Srikakulam,"18.2949° N, 83.8938° E",24,10,917,3239,397,1854,0,203,338,200,3,356,0,314,126,13,56,0,339,1347,1197,2281,464,5033
14,Andhra Pradesh,Tirupathi Urban,"13.7070° N, 79.3578° E",20,2,661,1025,235,886,0,140,1084,375,26,808,0,1058,424,182,540,0,274,666,152,1481,2013,5556
15,Andhra Pradesh,Vijayawada City,"16.5062° N, 80.6480° E",44,0,957,2216,807,1936,0,45,2214,442,45,1592,6,1208,559,20,2978,0,66,1910,1357,5376,579,9710
16,Andhra Pradesh,Vijayawada Railway,"16.5187° N, 80.6200° E",1,0,6,36,2,26,0,0,994,0,1,498,0,7,3,0,42,0,0,0,4,46,1,568
17,Andhra Pradesh,Visakha Rural,"17.8035° N, 83.3531° E",36,7,1272,2017,346,1588,87,223,462,222,19,406,0,360,167,7,90,0,179,931,638,1380,969,4475
18,Andhra Pradesh,Visakhapatnam,"17.6868° N, 83.2185° E",41,2,1180,2556,1000,2355,0,91,1228,390,20,1057,6,1590,631,3,2039,0,11,7128,1358,6975,924,11590
19,Andhra Pradesh,Vizianagaram,"18.1067° N, 83.3956° E",27,4,925,2596,563,2000,3,43,654,259,11,539,2,461,186,9,517,0,19,1181,699,1835,1077,5307
20,Andhra Pradesh,West Godavari,"16.9174° N, 81.3399° E",54,8,1671,5006,717,3043,0,78,2164,841,23,1664,2,1478,715,0,6810,0,0,1700,963,8623,5565,19460
21,Arunachal Pradesh,Anjaw,"28.0360° N, 96.8351° E",0,0,11,18,4,14,0,0,14,1,0,8,0,2,1,0,0,0,0,0,2,2,5,29
22,Arunachal Pradesh,Changlang,"27.1355° N, 95.7364° E",6,0,26,9,6,67,0,0,46,29,2,49,0,10,5,0,0,0,0,6,0,3,11,106
23,Arunachal Pradesh,Crime Branch,,0,0,0,0,0,0,6,3,0,5,0,5,0,8,4,0,0,0,0,0,0,0,0,12
24,Arunachal Pradesh,Dibang Valley,"28.7313° N, 95.8987° E",0,0,0,12,2,8,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,4,12
25,Arunachal Pradesh,Kameng East,"27.6142° N, 92.8577° E",0,0,12,24,0,27,0,0,20,5,3,16,0,18,9,0,0,0,0,4,4,6,13,65
26,Arunachal Pradesh,Kameng West,"27.3428° N, 92.3024° E",4,0,45,27,10,49,0,3,64,21,1,44,0,30,15,0,0,0,0,20,2,12,30,140
27,Arunachal Pradesh,Kurung Kumey,"28.0738° N, 93.2584° E",2,0,0,21,5,15,0,0,6,4,0,7,0,10,5,0,0,0,0,4,4,6,6,36
28,Arunachal Pradesh,Lohit,"28.0682° N, 96.1527° E",1,0,30,9,12,50,0,3,26,22,0,26,0,10,5,0,0,0,0,18,4,13,15,90
29,Arunachal Pradesh,Longding,"26.8372° N, 95.3521° E",3,0,12,21,0,38,0,0,14,38,3,40,0,0,0,0,0,0,0,2,2,3,4,68
30,Arunachal Pradesh,Lower Dibang Valley,"28.0830° N, 95.8143° E",2,0,32,30,0,48,0,0,30,16,5,28,2,2,2,0,0,0,0,8,2,6,5,74
31,Arunachal Pradesh,Papum Pare City,"27.1318° N, 93.6176° E",9,0,49,330,47,371,0,12,910,97,32,557,0,73,36,0,14,0,0,106,123,190,31,1043
32,Arunachal Pradesh,Papum Pare Rural,"27.1170° N, 93.6098° E",2,0,37,39,2,49,0,0,82,22,5,58,0,22,11,0,0,0,0,0,1,1,37,140
33,Arunachal Pradesh,Siang East,"28.0550° N, 95.3521° E",1,1,58,48,11,81,0,0,64,22,4,53,0,26,13,0,0,0,0,18,5,14,43,176
34,Arunachal Pradesh,Siang Upper,"28.8613° N, 94.9767° E",2,0,16,24,6,21,0,0,16,16,0,16,0,2,1,0,0,0,0,0,1,1,12,50
35,Arunachal Pradesh,Siang West,"28.1783° N, 94.5212° E",2,0,5,48,17,45,0,0,14,2,0,12,0,10,5,0,0,0,0,10,5,10,1,61
36,Arunachal Pradesh,Subansiri Lower,"27.5910° N, 93.8248° E",0,1,0,33,2,19,0,0,12,12,0,15,0,2,1,0,3,0,0,10,3,11,10,51
37,Arunachal Pradesh,Subansiri Upper,"28.3349° N, 93.9878° E",1,0,13,51,0,33,0,0,30,11,0,23,0,10,5,0,0,0,0,10,6,11,6,71
38,Arunachal Pradesh,Tawang,"27.6325° N, 91.7539° E",2,0,9,9,4,16,0,0,2,4,0,3,0,4,2,0,0,0,0,4,0,2,3,22
39,Arunachal Pradesh,Tirap,"27.0186° N, 95.5197° E",1,0,2,3,6,9,0,0,22,33,1,41,0,8,4,0,0,0,0,2,2,3,11,66
40,Arunachal Pradesh,Namsai,"27.6692° N, 95.8644° E",5,1,29,33,0,48,0,3,24,40,4,37,0,3,1,0,0,0,0,20,3,13,4,95
41,Arunachal Pradesh,Siang,"28.5007° N, 94.6450° E",3,0,16,15,6,20,0,0,16,3,0,10,0,6,3,0,0,0,0,6,7,10,1,43
42,Arunachal Pradesh,Kamle,"23.5407° N, 84.7394° E",0,0,17,36,0,26,0,0,6,0,1,4,0,2,1,0,0,0,0,0,1,1,6,34
43,Arunachal Pradesh,Kra Dadi,"28.072° N, 95.325° E",0,0,16,3,2,12,0,0,4,0,1,3,0,0,0,0,0,0,0,0,0,0,4,16
44,Arunachal Pradesh,Lower Siang,"27.8016° N, 94.6037° E",3,0,6,21,2,22,0,0,40,3,2,23,0,6,3,0,1,0,0,8,3,8,13,63
45,Arunachal Pradesh,Leparada,27.98333°N 94.66667°E,0,0,10,24,7,19,0,0,12,2,0,7,0,4,2,0,0,0,0,0,3,3,2,30
46,Arunachal Pradesh,Shiyomi,"28.6979° N, 94.3154° E",0,0,9,6,0,5,0,0,0,0,0,2,0,2,1,0,0,0,0,0,1,1,2,10
47,Arunachal Pradesh,Pakkessang,"27.1459° N, 93.2463° E",0,0,3,6,8,11,0,0,12,2,0,7,0,3,1,0,0,0,0,2,3,4,2,23
48,Assam,BIEO,,0,0,0,0,0,0,0,0,0,0,0,0,0,22,9,0,0,0,0,0,0,0,0,9
49,Assam,Barpeta,"26.3304° N, 91.0041° E",48,41,509,2397,1494,4680,0,267,1504,624,82,1414,12,798,405,0,0,0,0,570,853,1138,1056,6796
50,Assam,Baksa,"26.6935° N, 91.5984° E",28,4,311,794,130,958,0,92,254,143,20,271,0,178,89,5,5,0,0,196,240,348,11,1389
51,Assam,Bongaigaon,"26.5030° N, 90.5536° E",18,6,193,1665,234,1572,0,27,764,295,71,640,4,358,181,0,0,0,0,278,336,475,613,2972
52,Assam,CID,,1,0,0,0,0,3,0,0,0,0,0,0,0,18,9,0,0,0,0,0,0,0,0,11
53,Assam,Cachar,"24.7821° N, 92.8577° E",52,0,312,5337,274,3823,0,984,1902,617,138,1762,2,248,125,0,0,0,0,694,645,992,1298,7291
54,Assam,Chirang,"26.5387° N, 90.6939° E",13,1,113,397,30,704,3,48,246,140,18,254,4,150,77,9,0,0,0,16,193,210,288,1236
55,Assam,Darrang,"26.4512° N, 92.1058° E",22,0,294,2529,545,2125,0,159,468,202,25,394,6,426,216,0,0,0,0,334,520,687,394,3269
56,Assam,Dhemaji,"27.4811° N, 94.5573° E",23,1,339,846,199,1068,0,29,384,96,26,292,2,226,114,0,0,0,0,124,258,320,19,1476
57,Assam,Dhubri,"26.0207° N, 89.9743° E",36,4,369,3063,1148,3481,0,714,1800,571,63,1666,12,1122,529,13,12,0,0,355,1494,1698,69,6569
58,Assam,Dibrugarh,"27.4705° N, 94.9125° E",73,0,357,945,141,1527,0,18,1522,368,40,1336,4,811,395,4,0,0,0,178,831,924,1241,4684
59,Assam,GRP,,10,0,0,0,10,75,0,0,416,5,1,213,0,42,21,0,0,0,0,0,0,0,49,321
60,Assam,Goalpara,"26.1641° N, 90.6252° E",40,0,375,630,92,1052,0,45,648,420,31,641,8,446,227,0,0,0,0,292,735,881,0,2402
61,Assam,Golaghat,"26.5239° N, 93.9623° E",41,3,387,99,177,1251,0,54,712,162,8,520,0,242,121,3,3,0,0,184,380,478,927,2668
62,Assam,Guwahati City,"26.1158° N, 91.7086° E",61,4,762,14157,522,7576,9,55,8984,2289,855,7689,44,5329,2262,0,2,0,0,1116,1110,1670,1494,18599
63,Assam,Hailakandi,"24.6809° N, 92.5648° E",15,2,148,956,364,1407,0,662,696,185,42,623,0,315,147,3,1,0,0,200,1071,1175,86,3161
64,Assam,Hamren,"25.8472° N, 92.5743° E",10,0,0,0,9,115,0,0,56,15,2,117,0,14,7,0,0,0,0,0,24,24,104,259
65,Assam,Jorhat,"26.7509° N, 94.2037° E",38,0,214,2562,459,2089,0,18,1818,681,80,1489,2,1012,466,4,0,0,0,290,561,710,595,4717
66,Assam,Kamrup,"25.9411° N, 91.2891° E",65,3,618,2425,623,3240,0,247,2054,431,160,2772,8,1442,615,118,48,1,0,726,1121,1651,1841,8432
67,Assam,Karbi Anglong,"26.1861° N, 93.5813° E",35,0,279,645,57,811,0,0,442,105,13,371,0,96,48,0,0,0,0,102,86,137,73,1092
68,Assam,Karimganj,"24.8649° N, 92.3592° E",45,2,205,786,163,1095,3,367,872,342,48,812,6,232,118,5,16,0,0,240,925,1066,831,3650
69,Assam,Kokrajhar,"26.4014° N, 90.2667° E",28,0,281,15,200,700,75,62,622,146,12,476,4,230,117,18,0,0,0,160,238,336,532,1906
70,Assam,Lakhimpur,"27.9462° N, 80.7787° E",46,1,416,2316,332,1917,0,78,476,341,31,573,4,482,243,0,0,0,0,266,794,927,24,3161
71,Assam,Morigaon,"26.2529° N, 92.3370° E",32,0,421,2496,236,2963,0,249,828,419,71,887,2,474,238,11,0,0,0,382,835,1037,238,4163
72,Assam,Dima Hasao,"25.3478° N, 93.0176° E",7,0,25,78,2,121,3,5,72,32,8,80,0,70,35,1,0,0,0,30,30,46,16,243
73,Assam,Nagaon,"26.3480° N, 92.6838° E",78,3,725,762,247,2712,0,577,1428,877,110,1929,12,820,416,20,0,0,0,520,979,1259,2002,6994
74,Assam,Nalbari,"26.4446° N, 91.4411° E",27,3,320,1737,225,1461,0,18,766,229,47,652,0,334,167,0,7,0,0,390,651,853,6,2750
75,Assam,RPO,,2,0,1,0,4,23,0,3,6,5,0,6,0,8,4,0,0,0,0,0,6,6,38,67
76,Assam,SOU,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Assam,STF,,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,2
78,Assam,Sibsagar,"26.9826° N, 94.6425° E",26,3,229,1791,199,1425,0,37,858,136,20,607,0,352,176,7,42,0,0,186,578,720,137,2643
79,Assam,Sonitpur,"26.6770° N, 92.6984° E",58,0,1003,4803,500,2904,0,54,838,368,72,684,0,824,412,0,0,0,0,0,568,568,47,4213
80,Assam,Tinsukia,"27.4886° N, 95.3558° E",61,2,364,2112,159,2144,12,77,1516,375,103,1255,0,546,273,8,29,0,0,162,746,864,100,3885
81,Assam,Udalguri,"26.7460° N, 92.0959° E",36,9,340,1040,239,1173,0,15,398,161,26,367,0,121,56,2,0,0,0,188,187,283,0,1513
82,Assam,Sadia,"27.8602° N, 95.6274° E",13,0,0,204,0,168,0,0,82,50,1,67,0,0,0,0,0,0,0,0,37,37,102,318
83,Assam,Majuli,"27.0016° N, 94.2243° E",3,0,29,156,30,183,0,0,24,36,1,33,0,53,22,0,0,0,0,0,31,31,50,251
84,Assam,Biswanath,"26.8518° N, 93.3389° E",30,3,231,741,152,1018,0,0,240,101,16,245,2,98,50,25,9,0,0,90,207,286,42,1270
85,Assam,Hojai,"26.0017° N, 92.8477° E",28,0,183,2535,341,2090,0,98,604,226,28,786,2,389,134,0,6,0,0,180,891,987,84,3323
86,Assam,South Salmara,"25.8048° N, 89.8879° E",15,0,66,507,85,731,0,90,212,150,15,315,8,168,88,3,6,0,0,44,349,380,377,1574
87,Assam,Charaideo,"27.0373° N, 95.0182° E",28,0,119,243,64,441,0,9,190,56,9,143,0,98,49,5,0,0,0,54,82,114,21,604
88,Bihar,Araria,"26.1325° N, 87.4528° E",76,10,601,6453,14,3304,0,237,1284,136,72,781,6,215,100,23,0,0,0,98,61,133,0,3914
89,Bihar,Arwal,"25.2428° N, 84.6656° E",11,3,322,1062,8,681,0,72,248,32,22,192,0,101,37,11,2,0,0,30,23,51,0,899
90,Bihar,Aurangabad,"19.8762° N, 75.3433° E",59,4,845,6126,18,2936,0,360,1094,147,50,678,0,321,146,0,0,0,0,160,45,125,2,3686
91,Bihar,Bagaha,"27.1222° N, 84.0722° E",33,2,287,2898,36,1598,0,153,244,76,11,203,0,112,49,12,20,0,0,32,37,85,0,1716
92,Bihar,Banka,"24.8874° N, 86.9198° E",52,9,442,5703,12,2551,0,219,550,118,43,391,0,158,71,0,0,0,0,74,10,47,0,2855
93,Bihar,Begusarai,"25.4182° N, 86.1272° E",102,1,873,5835,8,3066,0,39,1186,220,116,901,0,277,122,0,68,0,0,144,29,169,0,3876
94,Bihar,Bettiah,"26.8026° N, 84.5201° E",48,6,348,9099,0,3843,0,300,1592,125,24,892,0,440,201,26,15,0,0,86,75,159,0,4781
95,Bihar,Kaimur(Bhabhua),"25.0426° N, 83.6056° E",29,2,532,2220,32,1400,0,150,642,134,10,472,0,117,51,2,2,0,0,50,20,49,0,1751
96,Bihar,Bhagalpur,"25.2372° N, 86.9746° E",83,7,480,6567,20,3717,0,534,2056,261,107,1291,2,505,234,0,0,0,0,114,81,138,0,4719
97,Bihar,Bhojpur,"25.4662° N, 84.5222° E",95,8,1110,9483,8,4852,0,516,2936,340,86,1717,0,223,100,0,0,0,0,122,83,144,0,6302
98,Bihar,Buxar,"25.5647° N, 83.9777° E",41,0,401,4335,10,2229,0,894,964,189,29,607,0,103,47,0,0,0,0,32,39,55,0,2890
99,Bihar,Darbhanga,"26.1542° N, 85.8918° E",57,0,569,7710,136,3882,0,669,1496,185,43,912,0,160,65,0,0,0,0,152,40,116,10,4543
100,Bihar,Gaya,"24.7914° N, 85.0002° E",129,4,1650,11253,44,6325,0,1191,3352,484,115,2057,0,1115,533,0,0,0,0,324,114,276,0,8679
101,Bihar,Gopalganj,"26.4606° N, 84.4402° E",77,0,877,8481,0,4402,0,138,1662,202,73,1009,0,327,155,7,3,0,0,96,54,112,0,5124
102,Bihar,Jamalpur Railway,"25.3148° N, 86.4930° E",6,0,4,33,2,26,0,0,354,4,5,266,0,14,6,0,0,0,0,0,0,0,2,255
103,Bihar,Jamui,"24.9256° N, 86.2259° E",47,4,599,3807,6,2168,0,771,780,132,43,506,0,210,70,0,0,0,0,76,28,66,0,2727
104,Bihar,Jehanabad,"25.2133° N, 84.9853° E",22,4,363,2943,0,1550,0,339,688,74,26,404,0,266,123,0,0,0,0,72,20,56,0,2049
105,Bihar,Katihar,"25.5541° N, 87.5591° E",77,2,587,5391,18,2888,0,147,1096,98,61,849,2,337,162,0,0,0,0,82,50,91,0,3484
106,Bihar,Katihar Railway,"25.5480° N, 87.5652° E",3,0,1,6,3,37,0,0,386,6,3,285,0,0,0,0,0,0,0,0,1,1,4,264
107,Bihar,Khagaria,"25.5045° N, 86.4701° E",59,2,621,5589,6,2785,0,150,640,129,35,421,0,190,93,0,0,0,0,78,19,58,0,3033
108,Bihar,Kishanganj,"26.0982° N, 87.9450° E",25,0,227,2352,4,1338,0,54,682,66,32,450,2,101,49,2,11,0,0,50,37,75,2,1644
109,Bihar,Lakhisarai,"25.1571° N, 86.0952° E",35,1,421,3213,2,1784,0,156,310,100,10,215,0,39,19,0,0,0,0,76,26,64,0,1821
110,Bihar,Madhepura,"25.9240° N, 86.7946° E",86,4,646,4407,4,2470,0,348,1144,89,140,781,0,141,68,0,32,0,0,26,30,75,0,3194
111,Bihar,Madhubani,"26.3483° N, 86.0712° E",59,4,667,9432,10,4143,0,177,1334,189,38,922,0,140,64,0,0,0,0,92,177,223,1,4970
112,Bihar,Motihari,"26.6438° N, 84.9040° E",155,3,1364,14814,0,6972,0,684,3514,316,177,2152,0,608,279,0,0,0,0,218,196,305,0,9088
113,Bihar,Munger,"25.3708° N, 86.4734° E",39,0,439,3555,20,2249,0,531,526,171,24,458,0,264,127,5,15,0,0,86,35,98,0,2566
114,Bihar,Muzaffarpur,"26.1197° N, 85.3910° E",106,3,1654,11925,62,7150,0,525,5172,554,96,3012,0,719,346,13,7,0,0,230,108,243,0,9343
115,Bihar,Muzaffarpur Railway,"26.1224° N, 85.3784° E",6,0,3,66,6,97,0,3,672,8,3,434,0,8,4,0,0,0,0,0,0,0,18,473
116,Bihar,Nalanda,"25.2622° N, 85.4788° E",109,10,1266,11850,2,6206,0,1362,2398,383,114,1501,0,847,405,0,0,0,0,212,106,212,0,7713
117,Bihar,Naugachia,"25.3873° N, 87.0980° E",35,0,308,2437,12,1393,0,180,404,89,64,386,60,130,83,2,2,0,0,116,26,88,4,1692
118,Bihar,Nawadah,"24.7426° N, 85.5200° E",74,3,506,6867,6,3428,0,741,1500,136,33,1145,0,359,170,0,0,0,0,150,39,114,0,4394
119,Bihar,Patna,"25.5941° N, 85.1376° E",195,14,2977,17754,64,11406,0,2673,15626,1274,215,8655,0,4562,2066,0,0,0,0,696,212,560,0,21182
120,Bihar,Patna Railway,"25.6030° N, 85.1372° E",6,0,10,12,0,33,0,0,1208,6,17,797,0,8,4,0,0,0,0,2,1,2,10,750
121,Bihar,Purnea,"25.7771° N, 87.4753° E",102,3,721,6186,12,3821,0,534,2330,190,107,1364,0,319,155,0,0,0,0,106,96,149,22,4871
122,Bihar,Rohtas,"25.0686° N, 84.0167° E",73,6,867,6603,12,3429,0,675,2160,211,97,1280,0,377,179,0,0,0,0,160,49,129,6,4750
123,Bihar,Saharsa,"25.8774° N,
86.5928° E",45,0,316,4068,4,1976,0,519,964,94,63,592,0,186,86,9,0,0,0,48,17,50,0,2604
124,Bihar,Samastipur,"25.8560° N,
85.7868° E",99,0,1207,5568,186,3842,0,591,1726,171,115,1303,0,343,160,37,0,0,0,144,341,450,80,5207
125,Bihar,Saran,"25.8560° N,
84.8568° E",115,9,1462,16371,36,8048,0,420,3190,322,198,1994,0,741,345,0,0,0,0,278,169,308,1,9642
126,Bihar,Sheikhpura,"25.1392° N,
85.8392° E",10,0,270,1746,14,902,0,267,406,70,19,294,0,188,93,15,0,0,0,30,14,44,0,1304
127,Bihar,Sheohar,"26.5887° N,
85.5013° E",14,2,180,1443,2,831,0,48,200,48,9,133,0,69,31,0,0,0,0,10,11,16,3,904
128,Bihar,Sitamarhi,,62,1,766,8007,18,4387,0,199,1984,304,106,1277,0,287,128,0,0,0,0,118,70,129,23,5197
129,Bihar,Siwan,"26.2243° N,
84.3600° E",97,0,721,8211,4,4137,0,561,2514,313,116,1545,0,358,169,1,0,0,0,82,28,70,8,5438
130,Bihar,Supaul,"26.1234° N,
86.6045° E",33,3,564,5403,0,2626,0,306,774,86,102,533,0,158,73,0,0,0,0,40,21,41,0,3032
131,Bihar,Vaishali,"25.6838° N,
85.3550° E",113,2,1367,9192,40,5558,0,507,2566,461,139,1660,0,423,170,0,0,0,0,192,53,149,4,6664
132,Bihar,Economic Offences Unit,,0,0,0,0,0,0,0,0,0,1,0,5,0,33,11,0,0,0,0,0,2,2,0,16
133,Bihar,Anti Terrorist Squad,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,Chhattisgarh,Balod,"20.7271° N, 81.2056° E",10,1,466,135,70,476,0,72,354,281,12,342,0,86,43,0,3,0,0,427,31,250,663,1643
135,Chhattisgarh,Balodbazar,"21.6571° N, 82.1612° E",27,1,776,3510,151,2135,0,256,512,489,36,545,0,48,23,0,0,0,0,557,105,386,18,2782
136,Chhattisgarh,Balrampur,"27.4307° N, 82.1805° E",50,7,553,273,138,791,0,173,220,153,9,202,0,81,27,0,0,1,0,184,62,156,640,1629
137,Chhattisgarh,Bemetra,"21.7140° N, 81.5356° E",22,3,414,148,78,551,0,39,304,265,15,302,0,63,30,0,0,0,0,473,81,318,971,1994
138,Chhattisgarh,Bilaspur,"22.0797° N, 82.1409° E",56,1,929,10575,222,5455,0,114,1784,1352,91,1685,0,466,233,0,755,0,0,1418,232,1696,0,8098
139,Chhattisgarh,Bizapur,"16.8302° N, 75.7100° E",36,0,155,0,10,176,0,12,52,26,14,46,0,33,11,0,0,0,0,182,7,98,72,361
140,Chhattisgarh,Dantewara,"18.8998° N, 81.3474° E",27,0,220,280,6,297,0,30,106,52,17,96,0,41,20,0,2,0,0,62,16,49,3,419
141,Chhattisgarh,Dhamtari,"20.7101° N, 81.5489° E",16,1,516,282,73,592,0,72,348,305,12,344,0,49,24,0,2,0,0,354,26,206,799,1819
142,Chhattisgarh,Durg,"21.1904° N, 81.2849° E",42,1,787,8595,182,4414,0,75,1690,833,97,1402,2,227,114,0,8,0,0,503,1531,1797,0,6950
143,Chhattisgarh,Gariyaband,"20.6348° N, 82.0615° E",19,1,318,2010,58,969,0,24,142,126,3,147,2,65,33,0,0,0,0,327,116,280,10,1353
144,Chhattisgarh,GRP Raipur,"21.2547° N, 81.6295° E",2,0,2,27,0,41,0,3,418,6,3,215,0,2,1,0,0,0,0,0,51,51,0,289
145,Chhattisgarh,Jagdalpur,"19.0861° N, 82.0188° E",31,1,428,1248,42,896,0,54,334,190,8,271,4,116,52,0,0,0,0,0,22,22,347,1483
146,Chhattisgarh,Janjgir,"22.0117° N, 82.5753° E",61,3,883,4980,188,2980,0,399,810,811,38,856,2,150,76,0,1,0,0,515,215,474,14,3926
147,Chhattisgarh,Jashpur,"22.8759° N, 84.1381° E",55,0,624,1056,60,1018,0,54,372,289,32,377,2,73,36,0,0,0,0,248,26,150,75,1433
148,Chhattisgarh,Kabirdham,"22.0991° N, 81.2519° E",19,0,360,2910,146,1598,0,198,286,215,12,270,0,78,33,0,0,0,0,396,50,249,133,2054
149,Chhattisgarh,Kanker,"20.2675° N, 81.4927° E",28,1,580,120,40,531,0,51,130,114,9,136,0,41,19,0,4,0,0,340,24,199,386,1131
150,Chhattisgarh,Kondagaon,"19.5954° N, 81.6646° E",19,3,452,351,38,544,0,33,122,87,5,111,0,55,24,0,2,0,0,23,132,148,190,866
151,Chhattisgarh,Korba,"22.3595° N, 82.7501° E",41,1,713,3957,107,2195,0,126,504,332,40,474,2,106,54,0,0,0,0,751,50,442,417,3262
152,Chhattisgarh,Koriya,"35.9078° N, 127.7669° E",40,1,520,3804,164,1939,0,114,238,164,9,214,0,72,36,0,0,0,0,378,133,322,47,2347
153,Chhattisgarh,Mahasamund,"21.1124° N, 82.0960° E",25,4,858,1755,28,1346,0,48,328,236,16,314,2,44,22,0,1,0,0,452,55,282,91,1769
154,Chhattisgarh,Mungali,"22.0662° N, 81.6839° E",16,0,262,1809,63,1013,0,138,222,149,3,192,2,56,29,0,0,0,0,308,55,209,29,1333
155,Chhattisgarh,Narayanpur,"19.7196° N, 81.2472° E",24,0,98,180,8,188,0,3,32,28,4,33,0,14,7,0,0,0,0,86,2,45,2,238
156,Chhattisgarh,Raigarh,"21.8974° N, 83.3950° E",71,5,1126,3597,158,2493,0,111,852,364,38,674,0,156,78,0,0,0,0,536,81,349,832,3916
157,Chhattisgarh,Raipur,"21.2514° N, 81.6296° E",65,3,1549,9874,246,6046,3,240,3096,1166,88,2296,0,759,253,0,6,0,0,2650,378,1717,354,9324
158,Chhattisgarh,Rajnandgaon,"21.0976° N, 81.0337° E",53,4,1024,5172,151,3045,0,51,934,534,27,778,0,134,64,0,1,0,0,1096,191,740,24,4098
159,Chhattisgarh,Sarguja,"22.9494° N, 83.1649° E",69,0,427,3033,106,1909,0,183,1500,424,35,1009,0,255,120,0,0,0,0,422,142,360,54,3132
160,Chhattisgarh,Sukma,"18.3909° N, 81.6588° E",29,0,204,9,0,211,0,3,30,10,14,29,2,20,11,0,0,0,0,94,4,51,50,287
161,Chhattisgarh,Surajpur,"23.2136° N, 82.8680° E",41,0,761,2210,71,1390,0,84,234,185,11,228,2,89,38,0,2,0,0,342,115,288,22,1805
162,Chhattisgarh,Gaurela-Pendra-Marwari,"22.8475° N, 81.9971° E",13,0,236,971,22,573,0,33,206,122,10,174,0,26,13,0,0,0,0,120,14,74,30,778
163,Goa,North Goa,"15.5163° N, 73.9830° E",10,0,207,659,106,599,0,91,690,159,19,502,2,111,51,0,37,0,0,224,100,249,5,1260
164,Goa,South Goa,"15.1177° N, 74.1240° E",16,2,207,308,59,355,3,66,354,110,11,255,0,58,26,1,6,0,0,284,32,181,1,764
165,Goa,CID,,0,0,0,0,5,24,0,0,86,0,0,43,0,39,19,0,0,0,0,0,0,0,0,75
